team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
CSK,SRH,SRH,Field,Ambati Rayudu,Rajiv Gandhi International Stadium,Uppal,182,178,CSK,0,4
MI,RR,MI,Bat,Jofra Archer,Sawai Mansingh Stadium,Jaipur,167,168,RR,3,0
Punjab,DC,DC,Field,Ankit Rajpoot,Feroz Shah Kotla,Delhi,143,139,Punjab,0,4
SRH,MI,MI,Field,Rashid Khan,Wankhede Stadium,Mumbai,118,87,SRH,0,31
RCB,CSK,CSK,Field,MS Dhoni,M Chinnaswamy Stadium,Bengaluru,205,207,CSK,5,0
SRH,Punjab,Punjab,Field,Ankit Rajpoot,Rajiv Gandhi International Stadium,Uppal,132,119,SRH,0,13
DC,KKR,KKR,Field,Shreyas Iyer,Feroz Shah Kotla,Delhi,219,164,DC,0,55
CSK,MI,MI,Field,Rohit Sharma,Maharashtra Cricket Association Stadium,Pune,169,170,MI,8,0
SRH,RR,SRH,Bat,Kane Williamson,Sawai Mansingh Stadium,Jaipur,151,140,SRH,0,11
RCB,KKR,KKR,Field,Chris Lynn,M Chinnaswamy Stadium,Bengaluru,175,176,KKR,6,0
CSK,DC,DC,Field,Shane Watson,Maharashtra Cricket Association Stadium,Pune,211,198,CSK,0,13
RCB,MI,MI,Field,Tim Southee,M Chinnaswamy Stadium,Bengaluru,167,153,RCB,0,14
DC,RR,RR,Field,Rishabh Pant,Feroz Shah Kotla,Delhi,150,146,DC,0,4
CSK,KKR,KKR,Field,Sunil Narine,Eden Gardens,Kolkata,177,180,KKR,6,0
Punjab,MI,MI,Field,Suryakumar Yadav,Holkar Cricket Stadium,Indore,174,176,MI,6,0
RCB,CSK,CSK,Field,Ravindra Jadeja,Maharashtra Cricket Association Stadium,Pune,127,128,CSK,6,0
DC,SRH,DC,Bat,Rashid Khan,Rajiv Gandhi International Stadium,Uppal,163,164,SRH,7,0
MI,KKR,KKR,Field,Hardik Pandya,Wankhede Stadium,Mumbai,181,168,MI,0,13
RR,Punjab,Punjab,Field,Mujeeb Ur Rahman,Holkar Cricket Stadium,Indore,152,155,Punjab,6,0
SRH,RCB,RCB,Field,Kane Williamson,Rajiv Gandhi International Stadium,Uppal,146,141,SRH,0,5
RR,Punjab,RR,Bat,Jos Buttler,Sawai Mansingh Stadium,Jaipur,158,143,RR,0,15
MI,KKR,KKR,Field,Ishan Kishan,Eden Gardens,Kolkata,210,108,MI,0,102
DC,SRH,DC,Bat,Shikhar Dhawan,Feroz Shah Kotla,Delhi,187,191,SRH,9,0
CSK,RR,CSK,Bat,Jos Buttler,Sawai Mansingh Stadium,Jaipur,176,177,RR,4,0
KKR,Punjab,Punjab,Field,Sunil Narine,Holkar Cricket Stadium,Indore,245,214,KKR,0,31
DC,RCB,RCB,Field,AB de Villiers,Feroz Shah Kotla,Delhi,181,187,RCB,5,0
SRH,CSK,CSK,Field,Ambati Rayudu,Maharashtra Cricket Association Stadium,Pune,179,180,CSK,8,0
MI,RR,RR,Field,Jos Buttler,Wankhede Stadium,Mumbai,168,171,RR,7,0
Punjab,RCB,RCB,Field,Umesh Yadav,Holkar Cricket Stadium,Indore,88,92,RCB,10,0
RR,KKR,KKR,Field,Kuldeep Yadav,Eden Gardens,Kolkata,142,145,KKR,6,0
MI,Punjab,Punjab,Field,Jasprit Bumrah,Wankhede Stadium,Mumbai,186,183,MI,0,3
RCB,SRH,SRH,Field,AB de Villiers,M Chinnaswamy Stadium,Bengaluru,218,204,RCB,0,14
DC,CSK,CSK,Field,Harshal Patel,Feroz Shah Kotla,Delhi,162,128,DC,0,34
RR,RCB,RR,Bat,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur,164,134,RR,0,30
SRH,KKR,SRH,Bat,Chris Lynn,Rajiv Gandhi International Stadium,Uppal,172,173,KKR,5,0
DC,MI,DC,Bat,Amit Mishra,Feroz Shah Kotla,Delhi,174,163,DC,0,11
Punjab,CSK,CSK,Field,Lungi Ngidi,Maharashtra Cricket Association Stadium,Pune,153,159,CSK,5,0
SRH,CSK,CSK,Field,Faf du Plessis,Wankhede Stadium,Mumbai,139,140,CSK,2,0
KKR,RR,RR,Field,Andre Russell,Eden Gardens,Kolkata,169,144,KKR,0,25
SRH,KKR,KKR,Field,Rashid Khan,Eden Gardens,Kolkata,174,160,SRH,0,14
SRH,CSK,CSK,Field,Shane Watson,Wankhede Stadium,Mumbai,178,181,CSK,8,0
SRH,RCB,RCB,Field,Yuvraj Singh,Rajiv Gandhi International Stadium,Uppal,207,172,SRH,0,35
RCB,DC,RCB,Bat,Kedar Jadhav,M Chinnaswamy Stadium,Bangalore,157,142,RCB,0,15
