team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
KKR,CSK,KKR,Bat,Ravindra Jadeja,Eden Gardens,Kolkata,119,124,CSK,4,0
RR,RCB,RCB,Field,Vinay Kumar,M Chinnaswamy Stadium,Bangalore,117,123,RCB,7,0
MI,DC,MI,Bat,Virender Sehwag,Feroz Shah Kotla,Delhi,161,165,DC,9,0
RR,CSK,RR,Bat,Michael Hussey,MA Chidambaram Stadium,Chepauk,185,186,CSK,5,0
DC,Punjab,Punjab,Field,Harmeet Singh,Feroz Shah Kotla,Delhi,120,121,Punjab,5,0
KKR,MI,KKR,Bat,Dwayne Smith,Eden Gardens,Kolkata,159,162,MI,5,0
SRH,CSK,SRH,Bat,MS Dhoni,MA Chidambaram Stadium,Chepauk,159,160,CSK,5,0
Punjab,KKR,Punjab,Bat,Jacques Kallis,Eden Gardens,Kolkata,149,150,KKR,6,0
SRH,RR,SRH,Bat,James Faulkner,Sawai Mansingh Stadium,Jaipur,144,146,RR,8,0
MI,RCB,MI,Bat,Dwayne Smith,Wankhede Stadium,Mumbai,194,136,MI,0,58
CSK,KKR,KKR,Field,Michael Hussey,MA Chidambaram Stadium,Chepauk,200,186,CSK,0,14
RCB,RR,RR,Field,Sanju Samson,Sawai Mansingh Stadium,Jaipur,171,173,RR,4,0
MI,Punjab,MI,Bat,Rohit Sharma,Wankhede Stadium,Mumbai,174,170,MI,0,4
MI,SRH,MI,Bat,Ishant Sharma,Rajiv Gandhi International Stadium,Uppal,129,130,SRH,7,0
KKR,DC,KKR,Bat,David Warner,Shaheed Veer Narayan Singh International Stadium,Raipur,136,137,DC,7,0
CSK,Punjab,CSK,Bat,Suresh Raina,MA Chidambaram Stadium,Chepauk,186,171,CSK,0,15
RR,KKR,RR,Bat,Yusuf Pathan,Eden Gardens,Kolkata,132,133,KKR,8,0
DC,SRH,DC,Bat,Daren Sammy,Rajiv Gandhi International Stadium,Uppal,80,81,SRH,6,0
MI,CSK,MI,Bat,Mitchell Johnson,Wankhede Stadium,Mumbai,139,79,MI,0,60
RCB,Punjab,Punjab,Field,David Miller,Punjab Cricket Association Stadium,Mohali,190,194,Punjab,6,0
DC,RR,DC,Bat,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur,154,155,RR,9,0
MI,KKR,MI,Bat,Sachin Tendulkar,Wankhede Stadium,Mumbai,170,105,MI,0,65
CSK,SRH,SRH,Field,Suresh Raina,Rajiv Gandhi International Stadium,Uppal,223,146,CSK,0,77
Punjab,RR,RR,Field,Kevon Cooper,Punjab Cricket Association Stadium,Mohali,145,147,RR,8,0
RCB,DC,DC,Field,Jaydev Unadkat,Feroz Shah Kotla,Delhi,183,179,RCB,0,4
SRH,Punjab,Punjab,Field,Parthiv Patel,Punjab Cricket Association Stadium,Mohali,150,120,SRH,0,30
RCB,KKR,KKR,Field,Jacques Kallis,JSCA International Stadium Complex,Ranchi,115,116,KKR,5,0
CSK,RR,RR,Field,Shane Watson,Sawai Mansingh Stadium,Jaipur,141,144,RR,5,0
SRH,MI,SRH,Bat,Kieron Pollard,Wankhede Stadium,Mumbai,178,184,MI,7,0
RCB,Punjab,Punjab,Field,Adam Gilchrist,M Chinnaswamy Stadium,Bangalore,174,176,Punjab,7,0
CSK,DC,CSK,Bat,MS Dhoni,MA Chidambaram Stadium,Chepauk,168,135,CSK,0,33
MI,RR,RR,Field,Aditya Tare,Wankhede Stadium,Mumbai,166,152,MI,0,14
Punjab,DC,DC,Field,David Miller,Himachal Pradesh Cricket Association Stadium,Dharamsala,171,164,Punjab,0,7
SRH,RR,SRH,Bat,Amit Mishra,Rajiv Gandhi International Stadium,Uppal,136,113,SRH,0,23
Punjab,MI,MI,Field,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,Dharamsala,183,133,Punjab,0,50
RCB,CSK,CSK,Field,Virat Kohli,M Chinnaswamy Stadium,Bangalore,106,82,RCB,0,24
KKR,SRH,KKR,Bat,Parthiv Patel,Rajiv Gandhi International Stadium,Uppal,130,132,SRH,5,0
CSK,MI,CSK,Bat,Michael Hussey,Feroz Shah Kotla,Delhi,192,144,CSK,0,48
SRH,RR,SRH,Bat,Brad Hodge,Feroz Shah Kotla,Delhi,132,135,RR,4,0
RR,MI,RR,Bat,Harbhajan Singh,Eden Gardens,Kolkata,165,169,MI,4,0
MI,CSK,MI,Bat,Kieron Pollard,Eden Gardens,Kolkata,148,125,MI,0,23
CSK,MI,MI,Field,Richard Levi,MA Chidambaram Stadium,Chepauk,112,115,MI,8,0
KKR,DC,DC,Field,Irfan Pathan,Eden Gardens,Kolkata,97,100,DC,8,0
RR,Punjab,Punjab,Field,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur,191,160,RR,0,31
RCB,DC,DC,Field,AB de Villiers,M Chinnaswamy Stadium,Bangalore,157,137,RCB,0,20
CSK,SRH,SRH,Field,Ravindra Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,193,119,CSK,0,74
RR,KKR,KKR,Field,Brad Hodge,Sawai Mansingh Stadium,Jaipur,164,142,RR,0,22
SRH,MI,SRH,Bat,Rohit Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,138,142,MI,5,0
